;Zone;Population 2018;Différence population (%);Disponibilité en protéines par habitant (g/personne);Disponibilité en calories par habitant (kcal/personne);Proportion protéine animale (%);Proportion protéine volailles / prot animale(%);PIB par habitant;Cluster
41;Fidji;883483.0000000001;0.6865278035783;25929.599999999995;1012875.0;40.019707207207205;28.17446359479423;13808.1;1
42;Finlande;5522576.0;0.20330694485999812;43062.70000000001;1219100.0;63.934565180539096;10.871006230942594;48191.2;2
43;France;64990511.0;0.22824841648245464;39478.39999999999;1277865.0;59.578402366863905;13.8268156424581;45561.0;2
44;Djibouti;958923.0;1.5701743143462783;23911.15;983675.0;21.40131277667532;7.7746077032810295;5214.1;0
45;Géorgie;4002942.0;-0.14403614523952027;28021.05;1035870.0;40.7060049498502;18.048000000000002;14257.1;1
46;Gabon;2119275.0;2.637126765829334;28816.749999999996;961410.0;47.34642178594047;28.571428571428566;14743.4;4
47;Gambie;2280094.0;2.9904389967157305;23896.549999999996;923815.0;25.645333740644567;8.100059559261465;2144.2;3
48;Allemagne;83124418.0;0.5637768808252835;38379.75;1297210.0;60.8939610080837;11.603935655161644;53660.0;2
49;Bosnie-Herzégovine;3323925.0;-0.8235057175464873;36018.200000000004;1205230.0;37.46453182002432;18.17690018934271;14419.6;1
50;Ghana;29767102.000000004;2.2170484898338816;22469.39999999999;1105585.0;24.951267056530224;18.359374999999996;5194.4;4
51;Kiribati;115847.00000000001;1.479528372956798;26838.449999999997;1123470.0;49.014007887936884;16.176470588235293;2258.9;0
52;Grèce;10522246.000000002;-0.4466079124268502;39441.89999999999;1234065.0;55.58023320377568;13.66966366966367;29711.9;2
53;Grenade;111454.0;0.5231163302487493;26020.84999999999;876365.0;56.683966895777814;35.65949022519179;16801.2;1
54;Guatemala;17247849.0;1.9679550126308065;25155.800000000007;930750.0;31.529309344167146;25.218591808559598;8448.5;4
55;Guinée;12414293.0;2.873614700751673;20940.050000000003;1001195.0;19.818720585671954;6.860158311345646;2498.4;3
56;Guyana;779006.0000000001;0.4881182422583603;31441.1;1062880.0;41.235198514046914;35.05067567567568;9312.1;1
57;Haïti;11123178.0;1.2821645171905403;18096.699999999993;773800.0;21.339249697458648;25.14177693761815;1767.2;4
58;Honduras;9587521.999999998;1.6810773301510793;22940.250000000004;974550.0;34.9244232299125;33.89521640091116;5672.3;4
59;Chine - RAS de Hong-Kong;7371730.0;0.8952247108736839;46898.85;1192455.0;73.11074791812588;17.681498829039814;61071.9;2
60;Hongrie;9707499.0;-0.22943891168421587;32660.2;1210705.0;57.25301743406348;19.207495608042162;31072.9;2
61;Croatie;4156404.9999999995;-0.6323907319805632;33028.85;1120915.0;61.57586473643495;8.435032304379039;27557.5;2
62;Islande;336713.0;0.6937944275149279;53465.2;1334440.0;71.66848716548334;12.078491141169746;56157.5;2
63;Inde;1352642280.0;1.0432312830464234;23122.75;923450.0;23.693764798737167;5.196535642904731;6496.8;0
64;Indonésie;267670543.0;1.1409669421833981;24571.8;1051930.0;32.35294117647058;12.167125803489439;11371.5;0
65;Iraq;38433600.0;2.3455493216334515;23922.100000000002;951190.0;22.245956667683867;23.593964334705078;10660.1;4
66;Irlande;4818690.0;1.3761237242753717;42869.25;1418025.0;61.30268199233716;16.458333333333332;83470.6;2
67;Israël;8381516.0;1.669948305694133;46289.3;1287355.0;58.894496136256116;37.40795287187041;39543.2;1
68;Italie;60627291.0;-0.07649113081134809;38861.55;1277500.0;53.47985347985349;13.733754829645243;42198.2;2
69;Côte d'Ivoire;25069230.0;2.585210334785059;21005.749999999993;1013605.0;24.79582971329279;4.274702172389628;5028.9;3
70;Kazakhstan;18319618.000000004;1.3252143153168254;33390.2;1118725.0;59.80542195015304;11.533540486199964;25544.3;0
71;Jamaïque;2934847.0;0.47927862045543795;27729.050000000003;1016525.0;48.63762011320256;42.92286874154262;9738.0;1
72;Japon;127202192.0;-0.23570711920079382;31864.500000000004;988055.0;55.6815578465063;15.202633203044641;41074.1;1
73;Jordanie;9965318.000000002;1.8340269714116644;25236.09999999999;996085.0;33.540642175296504;38.37861147046141;9853.9;4
74;Kirghizistan;6304030.0;1.8465578402170106;30802.350000000006;995720.0;40.18248607654935;3.5092892951931582;5133.2;0
75;Kenya;51392565.0;2.332529594806909;22524.15;799715.0;24.177604926268042;1.3404825737265413;4203.8;3
76;Cambodge;16249792.0;1.5015107678240953;24068.100000000002;909580.0;28.829238701850173;4.1557075223566535;4159.3;0
77;République de Corée;51171706.0;0.14735084643413326;36547.45;1247205.0;51.652851293318705;11.175560711523588;41894.1;2
78;Koweït;4137312.0;2.0022440280673557;37649.75000000001;1266915.0;49.40378090159962;32.29984301412873;50478.6;1
79;Lettonie;1928458.9999999998;-1.1602703504746494;37496.45;1178585.0;61.41341380317338;11.459819305753687;29942.0;2
80;République démocratique populaire lao;7061507.0;1.5600669347989728;28075.800000000003;1005940.0;23.62194487779512;10.29168959823885;7592.8;0
81;Liban;6859408.0;0.5870774336584881;25203.250000000007;1040615.0;32.54163649529326;28.615932354250113;15612.0;1
82;Lesotho;2108328.0;0.802951326633938;24276.149999999998;847165.0;28.95805142083895;13.914849428868125;2748.5;0
83;Libéria;4818973.0;2.482802825725525;15622.000000000002;789860.0;27.289719626168228;46.06164383561644;1497.0;4
84;Lituanie;2801264.0;-1.5516195534287835;46176.15000000001;1244650.0;62.32708876768635;12.720355104629045;35390.0;2
85;Chine - RAS de Macao;631636.0;1.4537773958575826;39916.4;1213990.0;64.85003657644477;16.426959954878736;131908.0;2
86;Madagascar;26262313.0;2.705464012609508;16107.449999999999;705910.0;21.2100611828688;10.897435897435894;1613.1;3
87;Malawi;18143217.0;2.6769425760755605;24473.25;873080.0;13.900074571215516;12.124463519313304;1042.5;3
88;Malaisie;31528033.0;1.3611696464894627;28261.949999999997;1037695.0;55.779413663954536;29.93748552905765;27536.9;1
89;Maldives;515696.0;3.8867691910991575;29637.999999999996;815775.0;60.4433497536946;9.311328443357784;18508.5;0
90;Mali;19077749.0;3.0537266042329367;30484.800000000003;1048645.0;26.891762452107283;3.7399821905609962;2283.1;0
91;Malte;439248.00000000006;0.30027424286363386;42464.100000000006;1247935.0;56.781846312532245;18.528610354223435;43064.0;2
92;Mauritanie;4403313.0;2.819405170259923;29922.699999999997;1047915.0;36.142961697975124;5.366182922713466;5042.4;0
93;Maurice;1267185.0;0.21241614267784487;32401.049999999996;1111790.0;46.42334121888027;33.36568793982043;22208.2;1
94;Mexique;126190788.0;1.132789159671346;33375.59999999999;1152305.0;48.972003499562554;21.862438588655646;19992.2;1
95;Mongolie;3170216.0;1.8122632705009367;31860.85;939875.0;65.12773513575438;1.7941952506596308;11915.6;0
96;Maroc;36029093.0;1.2586346378170288;36865.0;1244650.0;27.504950495049496;25.233981281497485;7437.6;1
97;Mozambique;29496004.0;2.956422450500763;15483.300000000001;765405.0;19.14191419141914;15.763546798029557;1289.5;3
98;République de Moldova;4051944.0000000005;-0.1906552332644556;22480.349999999995;870525.0;49.131352492287704;21.513549239920685;12373.0;1
99;Namibie;2448301.0;1.900748054322076;23958.59999999999;899360.0;35.085313833028664;15.718627876682584;9932.0;4
100;Népal;28095714.0;1.6756716440217996;27061.09999999999;1010685.0;19.13946587537092;4.8625792811839315;3252.7;0
101;Pays-Bas;17059560.0;0.22450044641004838;38861.55;1203405.0;65.56776556776558;7.878527431600057;56454.9;2
102;Macédoine du Nord;2082957.0000000002;0.046157629505543724;30795.05;1120185.0;43.344790802417926;19.08668307355756;15944.0;1
103;Vanuatu;292680.0;2.5112955763370866;23341.749999999996;950825.0;42.705238467552775;15.598681801537904;3129.9;4
104;Nouvelle-Zélande;4743130.999999999;0.874026006617537;34251.60000000001;1165080.0;54.98721227621483;17.38372093023256;42635.2;2
105;Nicaragua;6465501.0;1.2632254560251048;23144.649999999998;942430.0;31.036114177574518;33.33333333333333;5694.9;4
106;Niger;22442822.0;3.8904968905743758;30134.4;937685.0;14.123062015503878;3.2590051457975986;1196.5;3
107;Nigéria;195874683.00000003;2.6202933921948968;21389.000000000004;937685.0;12.508532423208191;4.638472032742156;5155.1;3
108;Norvège;5337962.0;0.7861298568101645;41328.95;1228590.0;59.957608407665816;12.431875092060684;63332.8;2
109;Pakistan;212228286.00000003;2.07885903013125;24444.049999999992;906660.0;39.55502463789758;6.266515666289164;4739.8;0
110;Panama;4176869.0000000005;1.7069379845810746;29305.849999999995;1039885.0;53.219579026030615;24.198455417739297;31049.2;1
111;Tchéquie;10665677.0;0.23158463735761045;31733.099999999995;1196470.0;60.766045548654255;14.404694302479651;39452.8;2
112;Papouasie-Nouvelle-Guinée;8606323.0;1.9943858973818107;23509.650000000005;833295.0;54.99146095326813;3.4161490683229814;4235.9;0
113;Paraguay;6956066.0;1.2961148881595796;25268.949999999997;1010320.0;40.546006066734066;10.616316351977199;12849.9;0
114;Pérou;31989260.0;1.7331027711288054;28375.100000000006;1012510.0;38.2814509904811;22.715053763440856;12782.4;4
115;Philippines;106651394.0;1.4057505769664553;22808.850000000002;969805.0;42.08673387742039;16.311787072243348;8516.1;4
116;Pologne;37921592.00000001;-0.08322886250900742;38474.64999999999;1290640.0;54.95683521487528;21.974797168997068;31765.7;2
117;Portugal;10256193.000000002;-0.31427239292854;42661.2;1269835.0;63.62936344969201;17.73564609385505;34013.1;2
118;Guinée-Bissau;1874303.0;2.5248544289429944;15778.949999999997;813585.0;21.304649548924367;8.143322475570033;1949.2;3
119;Timor-Leste;1267974.0;1.988002490231303;21166.35;834390.0;29.367132264183464;8.396946564885498;3079.9;3
120;Zimbabwe;14438802.0;1.420332600597266;16107.449999999993;694960.0;26.240652617267163;14.075993091537132;3130.0;4
121;Roumanie;19506113.999999996;-0.7522907968359958;39843.4;1305970.0;49.065591791865145;15.347274085138164;28565.5;2
122;Rwanda;12301970.0;2.6793259739347968;21578.80000000001;797890.0;14.089986468200271;5.162064825930372;2088.6;3
123;Fédération de Russie;145734038.0;0.140146969751591;37014.649999999994;1219830.0;54.82694014397003;18.974820143884894;26667.7;2
124;Saint-Kitts-et-Nevis;52441.0;0.7608800076856581;28126.899999999998;941335.0;64.2226836231508;34.81511416447768;25899.8;1
125;Sainte-Lucie;181889.0;0.5167059031577098;31353.500000000004;955935.0;62.328288707799786;37.99028763541278;15261.5;1
126;Saint-Vincent-et-les Grenadines;110211.0;0.3496407987106869;32795.24999999999;1082955.0;56.13800779076236;50.65424266455195;12466.4;1
