Series Name,Series Code,Country Name,Country Code,2008 [YR2008]
"Population, total",SP.POP.TOTL,San Marino,SMR,30434
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,171120
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,25888541
"Population, total",SP.POP.TOTL,Senegal,SEN,12004701
"Population, total",SP.POP.TOTL,Serbia,SRB,7350222
"Population, total",SP.POP.TOTL,Seychelles,SYC,86956
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,6133603
"Population, total",SP.POP.TOTL,Singapore,SGP,4839396
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,33964
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5379233
"Population, total",SP.POP.TOTL,Slovenia,SVN,2021316
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,503360
"Population, total",SP.POP.TOTL,Somalia,SOM,11397188
"Population, total",SP.POP.TOTL,South Africa,ZAF,49779472
"Population, total",SP.POP.TOTL,South Sudan,SSD,8736939
"Population, total",SP.POP.TOTL,Spain,ESP,45954106
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,19983984
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,48178
"Population, total",SP.POP.TOTL,St. Lucia,LCA,170011
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,36885
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,108393
"Population, total",SP.POP.TOTL,Sudan,SDN,33060837
"Population, total",SP.POP.TOTL,Suriname,SUR,517122
"Population, total",SP.POP.TOTL,Sweden,SWE,9219637
"Population, total",SP.POP.TOTL,Switzerland,CHE,7647675
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,20664038
"Population, total",SP.POP.TOTL,Tajikistan,TJK,7209930
"Population, total",SP.POP.TOTL,Tanzania,TZA,41853944
"Population, total",SP.POP.TOTL,Thailand,THA,66530984
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1055431
"Population, total",SP.POP.TOTL,Togo,TGO,6083420
"Population, total",SP.POP.TOTL,Tonga,TON,103379
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1314443
"Population, total",SP.POP.TOTL,Tunisia,TUN,10414433
"Population, total",SP.POP.TOTL,Turkey,TUR,70418604
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,4935767
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,31202
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10314
"Population, total",SP.POP.TOTL,Uganda,UGA,30431736
"Population, total",SP.POP.TOTL,Ukraine,UKR,46258189
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,7089487
"Population, total",SP.POP.TOTL,United Kingdom,GBR,61806995
"Population, total",SP.POP.TOTL,United States,USA,304093966
"Population, total",SP.POP.TOTL,Uruguay,URY,3340221
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,27302800
"Population, total",SP.POP.TOTL,Vanuatu,VUT,224704
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,27635832
"Population, total",SP.POP.TOTL,Vietnam,VNM,86243413
